title,author,date,subjects,geographic_names
"Rubbing of an inscription, Aberdeen.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- St. Machar's Cathedral (Aberdeen, Scotland)",2005,Antiquities (object genre) -- Scottish -- Monuments -- Inscriptions,"Europe, United Kingdom, Scotland, Aberdeen (unitary authority)"
"Inscription, relating to Henry de Lichton, Bishop of Aberdeen and his nephew Alexander de Rynd of Broxismoche, from St Machar’s Cathedral, Aberdeen.","Forbes, John, of Boynlie -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Bishops (prelates) -- Families -- Scottish -- Transcripts -- Inscriptions -- Cathedrals,"Europe, United Kingdom, Scotland, Aberdeen (unitary authority)"
"Sketch of the Island of INCH COLM in the Firth of Forth, 1822.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Hand coloring -- Antiquities (object genre) -- Islands -- Estuaries -- Scottish -- Abbeys -- Military installations,"Europe, United Kingdom, Scotland, Fife, Inchcolm (island) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Home Castle, Berwickshire, S.E. View, 1789.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Castles (fortifications),"Europe, United Kingdom, Scotland, Scottish Borders, Berwick (general region)"
Dryburgh Abbey.,"Buchan, David Stewart Erskine, Earl of, 1742-1829 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Ruins,"Europe, United Kingdom, Scotland, Scottish Borders, Dryburgh Abbey (ruins) -- Europe, United Kingdom, Scotland, Scottish Borders, Berwick (general region)"
"Monumental rubbing, Aberdeen.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Latin (language) -- Monuments,"Europe, United Kingdom, Scotland, Aberdeen, Aberdeen (inhabited place) -- Europe, United Kingdom, Scotland, Aberdeen (unitary authority)"
"Description of heraldry in Inverkeithing Parish Church, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Notes -- Description -- Heraldry -- Churches (buildings) -- Handwriting -- Antiquities (object genre) -- Scottish,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Description of heraldry in Inverkeithing Parish Church, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Notes -- Description -- Heraldry -- Churches (buildings) -- Handwriting -- Antiquities (object genre) -- Scottish,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Dunfermline Abbey and Monastery, Fife.","Fernie, John, active 1812 -- Morton, Alexander, of Dunfermline, active 1813-1817 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Compasses (direction indicators) -- Keys (texts) -- Scales (rules) -- Monasteries -- Monochrome,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Plan and section of the abbey Church of Dunfermline, as it was prior to the 19th August 1809, when part of the tower fell down.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Abbeys -- Churches (buildings) -- Sections (orthographic projections) -- Scales (rules) -- Aisles -- Cruciform,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
Culross.,"Morton, Alexander, of Dunfermline, active 1813-1817 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Ruins -- Scottish -- Abbeys -- Cistercian -- Keys (texts),"Europe, United Kingdom, Scotland, Fife, Culross (inhabited place) -- Europe, United Kingdom, Scotland, Fife (unitary authority)"
"Celtic standing stone at Dogton, Fife.","Hutton, George Henry, -1827 -- Hutton, George Henry, -1827 -- Hutton, George Henry, -1827",2005,Antiquities (object genre) -- Scottish -- Stone (rock) -- Celtic (culture) -- Menhirs,"Europe, United Kingdom, Scotland, Fife (unitary authority)"
